Sludge Temperature,Gas Temperature,Gas,Pressure,pH
28,34,809,7750,0
28,34,811,7750,0
28,34,794,7750,0
28,34,791,7750,0
29,34,791,8000,0
29,34,785,7625,0
29,35,776,8250,1
29,35,785,7875,0
29,35,789,7875,0
29,35,785,7875,4
29,35,762,8125,4
29,35,737,8125,4
29,34,753,7875,4
29,34,737,8000,4
29,33,762,7625,4
29,32,743,7500,4
29,32,739,7625,4
29,32,743,7125,4
29,31,719,6625,4
29,31,713,6375,4
29,31,707,6375,4
29,30,703,6250,4
29,30,696,5750,4
29,30,694,5750,5
28,30,698,5750,5
28,29,709,5125,5
28,29,705,5125,5
28,29,731,5125,5
28,28,785,4875,5
28,28,776,4625,5
27,28,836,4625,5
27,28,919,4750,5
27,28,1027,4375,5
27,27,1120,4375,5
27,27,1271,4250,5
27,27,1554,4125,5
27,27,2151,3375,5
27,27,3194,3125,5
27,27,5753,4000,5
26,27,16703,3250,5
26,27,95511,3125,5
26,27,7093,2625,5
26,27,6726,2875,5
26,27,6808,3000,5
26,26,6986,2625,5
26,26,7113,2500,5
26,26,7153,2375,5
25,26,7224,2500,5
25,26,7265,3125,5
25,26,7275,2500,5
25,26,7338,2625,5
25,26,7244,2625,5
25,26,7476,2250,5
25,26,7465,2750,5
25,26,7465,2125,5
25,26,7433,2250,5
25,26,7619,2250,5
25,26,7455,2375,5
25,26,7401,2750,5
25,27,7390,2750,5
25,27,7733,2625,5
25,28,7619,2875,5
25,28,7553,3000,5
25,29,7553,4250,5
25,29,7531,3750,5
25,30,7531,4875,5
25,30,7520,4875,5
25,31,7520,5250,5
26,31,7586,5375,5
26,31,7619,5250,5
26,31,7687,5625,5
26,32,7553,5875,5
26,32,7791,6500,5
26,32,7553,6500,5
27,33,7476,6375,5
27,33,7520,6750,5
27,33,7509,6875,5
28,33,7520,7250,5
27,33,7586,7375,5
27,34,7422,7250,5
28,34,7476,7375,5
28,34,7509,7750,5
28,34,7575,7500,5
28,34,7542,8000,5
28,33,7542,7250,5
28,33,7520,7125,5
28,33,7465,7250,5
28,32,7619,6750,5
28,32,7664,7000,5
28,31,7664,6375,5
28,31,7619,6375,5
28,31,7509,6375,5
28,30,7653,6125,5
28,30,7586,5750,5
28,30,7531,5750,5
28,30,7487,5500,5
28,29,7265,5375,5
28,29,7214,5000,5
28,29,7275,5375,5
28,29,7244,5000,5
28,29,7327,4875,5
27,28,7306,5125,5
27,28,7401,5125,5
27,28,7444,4375,5
27,28,7359,4875,5
27,28,7401,4750,5
27,28,7359,4375,5
27,27,7433,4625,5
27,27,7487,2750,5
27,27,7455,3250,6
27,27,7465,3125,6
26,27,7433,3875,5
26,27,7476,3375,5
26,27,7455,3625,5
26,27,7586,3375,5
26,27,7687,4000,5
26,27,7553,3500,5
26,27,7631,4000,5
26,27,7676,3125,6
26,27,7676,3125,6
26,27,7687,3000,6
26,27,7861,2875,6
26,27,7802,2625,6
26,27,7814,3125,6
26,27,7826,3000,6
25,27,7873,2625,6
25,27,7826,3125,6
25,27,7861,2875,6
25,27,7802,2875,6
25,27,7861,2625,6
25,27,7945,2500,6
25,27,7897,2625,6
25,27,7969,2750,6
25,27,7969,3000,6
25,27,7791,2375,6
25,27,7921,2500,6
26,27,8030,2625,6
25,27,7993,2875,6
25,27,8282,2500,6
